Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,QryIndex
20180102,0,0,0,0,0,0,10630,10710,10612,10709,118501,1
20180103,0,0,0,0,0,0,10715,10797,10693,10789,135419,2
20180104,0,0,0,0,0,0,10792,10840,10770,10837,130290,3
20180105,0,0,0,0,0,0,10830,10867,10801,10857,123148,4
20180108,0,0,0,0,0,0,10859,10900,10843,10886,117511,5
20180109,0,0,0,0,0,0,10885,10909,10850,10881,106902,6
20180110,0,0,0,0,0,0,10889,10904,10806,10809,141523,7
20180111,0,0,0,0,0,0,10815,10834,10765,10801,155873,8
20180112,0,0,0,0,0,0,10797,10898,10788,10876,124774,9
20180115,0,0,0,0,0,0,10882,10958,10874,10955,120392,10
20180116,0,0,0,0,0,0,10947,10986,10918,10983,100794,11
20180117,0,0,0,0,0,0,10986,11024,10940,11020,96028,12
20180118,0,0,0,0,0,0,10995,11137,10992,11054,194021,13
20180119,0,0,0,0,0,0,11063,11142,11055,11139,126539,14
20180122,0,0,0,0,0,0,11139,11225,11113,11222,163256,15
20180123,0,0,0,0,0,0,11210,11253,11181,11225,169011,16
20180124,0,0,0,0,0,0,11228,11234,11090,11126,191859,17
20180125,0,0,0,0,0,0,11141,11271,11098,11154,229346,18
20180126,0,0,0,0,0,0,11158,11186,11079,11146,193882,19
20180129,0,0,0,0,0,0,11148,11238,11144,11196,148039,20
20180130,0,0,0,0,0,0,11187,11197,11064,11064,191664,21
20180131,0,0,0,0,0,0,11079,11144,11017,11098,218864,22
20180201,0,0,0,0,0,0,11104,11199,11086,11160,158545,23
20180202,0,0,0,0,0,0,11157,11162,11041,11116,202183,24
20180205,0,0,0,0,0,0,11105,11116,10848,10928,217828,25
20180206,0,0,0,0,0,0,10921,10949,10242,10399,466703,26
20180207,0,0,0,0,0,0,10418,10669,10400,10517,351887,27
20180208,0,0,0,0,0,0,10501,10613,10492,10518,229609,28
20180209,0,0,0,0,0,0,10510,10521,10121,10353,328563,29
20180212,0,0,0,0,0,0,10336,10438,10188,10410,244189,30
20180221,0,0,0,0,0,0,10405,10718,10383,10705,111091,31
20180222,0,0,0,0,0,0,10706,10911,10593,10626,151414,32
20180223,0,0,0,0,0,0,10610,10789,10598,10781,168097,33
20180226,0,0,0,0,0,0,10799,10872,10773,10822,126666,34
20180227,0,0,0,0,0,0,10817,10914,10784,10791,140828,35
20180301,0,0,0,0,0,0,10789,10806,10600,10735,186351,36
20180302,0,0,0,0,0,0,10755,10789,10575,10681,227972,37
20180305,0,0,0,0,0,0,10680,10741,10593,10635,235375,38
20180306,0,0,0,0,0,0,10625,10789,10604,10787,186255,39
20180307,0,0,0,0,0,0,10793,10837,10700,10712,198980,40
20180308,0,0,0,0,0,0,10710,10847,10708,10829,160887,41
20180309,0,0,0,0,0,0,10835,10910,10827,10865,158853,42
20180312,0,0,0,0,0,0,10862,11025,10844,11024,152813,43
20180313,0,0,0,0,0,0,11035,11103,11013,11100,133065,44
20180314,0,0,0,0,0,0,11094,11121,11003,11031,163549,45
20180315,0,0,0,0,0,0,11028,11073,10970,11041,152979,46
20180316,0,0,0,0,0,0,11059,11083,10923,11018,212260,47
20180319,0,0,0,0,0,0,11004,11054,10959,11028,141943,48
20180320,0,0,0,0,0,0,11027,11032,10919,11012,135221,49
20180321,0,0,0,0,0,0,11019,11073,10991,11044,97140,50
20180322,0,0,0,0,0,0,11001,11122,10961,10989,220591,51
20180323,0,0,0,0,0,0,10981,10982,10718,10734,244745,52
20180326,0,0,0,0,0,0,10745,10847,10621,10840,216843,53
20180327,0,0,0,0,0,0,10867,10991,10809,10989,194277,54
20180328,0,0,0,0,0,0,10997,10998,10809,10820,202995,55
20180329,0,0,0,0,0,0,10826,10859,10760,10840,223022,56
20180330,0,0,0,0,0,0,10855,10974,10842,10919,155232,57
20180331,0,0,0,0,0,0,10930,10953,10912,10926,32255,58
20180402,0,0,0,0,0,0,10947,10958,10843,10865,162052,59
20180403,0,0,0,0,0,0,10854,10879,10702,10784,194970,60
20180409,0,0,0,0,0,0,10797,10911,10786,10904,199394,61
20180410,0,0,0,0,0,0,10914,10993,10852,10949,207756,62
20180411,0,0,0,0,0,0,10963,11007,10936,10979,150920,63
20180412,0,0,0,0,0,0,10975,11024,10905,10943,175100,64
20180413,0,0,0,0,0,0,10917,10988,10907,10955,136598,65
20180416,0,0,0,0,0,0,10966,10984,10908,10943,149551,66
20180417,0,0,0,0,0,0,10939,10969,10802,10806,158430,67
20180418,0,0,0,0,0,0,10807,10909,10773,10845,127234,68
20180419,0,0,0,0,0,0,10840,10975,10807,10969,171393,69
20180420,0,0,0,0,0,0,10937,10968,10776,10788,228292,70
20180423,0,0,0,0,0,0,10757,10767,10683,10694,200745,71
20180424,0,0,0,0,0,0,10689,10694,10547,10583,229102,72
20180425,0,0,0,0,0,0,10578,10624,10411,10535,240630,73
20180426,0,0,0,0,0,0,10537,10566,10490,10565,51370,74
20180427,0,0,0,0,0,0,10460,10565,10451,10561,175711,75
20180502,0,0,0,0,0,0,10643,10670,10597,10609,141083,76
