Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,QryIndex
20210103,0,30933,71957,27621,64461,0,14640,14925,14635,14874,136418,1
20210104,0,39358,86808,38229,84262,0,14888,14980,14781,14977,171070,2
20210105,0,59698,136056,60772,138942,0,15003,15140,14764,14911,274998,3
20210106,0,48908,107085,44181,97356,0,14925,15260,14858,15230,204441,4
20210107,0,51611,108051,50302,106655,0,15238,15473,15226,15454,214706,5
20210108,0,15324,29650,15712,30999,0,15376,15526,15264,15419,218128,6
20210110,0,31407,70113,29749,67978,0,15420,15538,15369,15534,138091,7
20210111,0,48222,108320,49304,111275,0,15518,15605,15407,15493,219595,8
20210112,0,44045,97910,41407,90818,0,15500,15790,15486,15764,188728,9
20210113,0,39453,82945,40104,89935,0,15767,15814,15632,15729,172880,10
20210114,0,70574,154513,72233,159075,0,15758,16061,15584,15634,313588,11
20210115,0,41201,88493,40779,89287,0,15637,15679,15327,15606,177780,12
20210118,0,39623,87904,35893,80440,0,15588,15946,15570,15888,168344,13
20210119,0,40580,75728,42460,82538,0,15871,15964,15735,15766,158266,14
20210120,0,61379,140535,56618,128408,0,15759,16183,15740,16129,268943,15
20210121,0,45542,96225,46740,103094,0,16105,16145,15928,15984,199319,16
20210122,0,54505,113254,54857,116981,0,15952,16004,15719,15912,230235,17
20210125,0,50801,108289,52842,169329,0,15923,15974,15537,15626,277618,18
20210126,0,52813,115610,52288,114897,0,15615,15814,15585,15660,230507,19
20210127,0,66169,136696,69690,148472,0,15665,15680,15305,15383,285168,20
20210128,0,72131,150116,74113,157469,0,15375,15585,15063,15075,307585,21
20210129,0,62006,131399,59675,124145,0,15140,15398,15037,15360,255544,22
20210201,0,53760,115272,51105,109029,0,15362,15820,15315,15755,224301,23
20210202,0,44002,89855,46724,97820,0,15732,15884,15716,15772,187675,24
20210203,0,46863,97127,47752,101837,0,15771,15820,15542,15701,198964,25
20210204,0,48331,94905,47018,93965,0,15735,15984,15730,15804,188870,26
20210205,0,33221,60855,32020,56629,0,15803,16433,15737,16326,117484,27
20210217,0,46970,93669,47674,96230,0,16349,16525,16282,16380,189899,28
