Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,OI,QryIndex
20220704,0046,398,725,484,1627,0,14236,14245,14193,14202,2352,,1
20220704,0047,288,639,302,674,0,14200,14225,14197,14204,1313,,2
20220704,0048,141,328,143,371,0,14207,14220,14205,14217,699,,3
20220704,0049,116,205,179,434,0,14215,14217,14192,14195,639,,4
20220704,0050,120,252,100,148,0,14196,14210,14193,14203,400,,5
20220704,0051,122,250,117,158,0,14203,14215,14196,14200,408,,6
20220704,0052,66,105,56,87,0,14200,14207,14196,14199,192,,7
20220704,0053,82,190,72,109,0,14199,14212,14197,14207,299,,8
20220704,0054,34,79,51,102,0,14210,14212,14199,14203,181,,9
20220704,0055,48,91,88,208,0,14203,14205,14194,14196,299,,10
20220704,0056,185,299,310,553,0,14196,14196,14177,14185,852,,11
20220704,0057,94,161,125,232,0,14184,14184,14175,14175,393,,12
20220704,0058,189,362,143,219,0,14176,14203,14175,14185,581,,13
20220704,0059,152,384,113,207,0,14185,14208,14183,14194,591,,14
20220704,0100,124,191,189,396,0,14195,14195,14174,14174,587,,15
20220704,0101,580,1126,522,862,0,14174,14229,14174,14195,1988,,16
20220704,0102,484,880,511,729,0,14195,14230,14179,14225,1609,,17
20220704,0103,764,1463,610,947,0,14224,14288,14223,14284,2410,,18
20220704,0104,660,1132,533,1014,0,14283,14312,14281,14296,2146,,19
20220704,0105,268,440,385,752,0,14296,14298,14262,14267,1192,,20
20220704,0106,310,626,308,500,0,14267,14296,14256,14274,1126,,21
20220704,0107,203,329,269,485,0,14273,14286,14242,14242,814,,22
20220704,0108,349,506,398,720,0,14242,14248,14203,14204,1226,,23
20220704,0109,353,676,385,622,0,14204,14228,14193,14197,1298,,24
20220704,0110,444,786,724,1433,0,14199,14199,14154,14155,2219,,25
20220704,0111,793,1424,983,1715,0,14156,14159,14093,14146,3139,,26
20220704,0112,632,1202,524,908,0,14146,14216,14132,14208,2110,,27
20220704,0113,377,580,383,682,0,14210,14212,14156,14187,1262,,28
20220704,0114,287,611,284,480,0,14187,14213,14171,14189,1091,,29
20220704,0115,177,265,183,316,0,14189,14202,14179,14194,581,,30
20220704,0116,282,468,260,490,0,14192,14219,14187,14204,958,,31
20220704,0117,208,341,238,455,0,14205,14223,14185,14186,796,,32
20220704,0118,200,323,289,536,0,14187,14194,14163,14177,859,,33
20220704,0119,235,457,287,522,0,14178,14178,14150,14160,979,,34
20220704,0120,175,298,170,250,0,14159,14182,14154,14167,548,,35
20220704,0121,143,197,149,201,0,14169,14174,14154,14164,398,,36
20220704,0122,203,298,310,625,0,14163,14164,14131,14132,923,,37
20220704,0123,157,264,170,318,0,14133,14140,14124,14139,582,,38
20220704,0124,420,779,279,460,0,14139,14195,14137,14192,1239,,39
20220704,0125,206,398,257,427,0,14193,14199,14165,14176,825,,40
20220704,0126,121,206,114,188,0,14178,14189,14169,14176,394,,41
20220704,0127,146,220,151,359,0,14177,14178,14151,14162,579,,42
20220704,0128,121,186,156,291,0,14162,14168,14143,14160,477,,43
20220704,0129,118,228,123,210,0,14162,14179,14157,14173,438,,44
20220704,0130,184,399,139,211,0,14174,14193,14159,14188,610,,45
20220704,0131,177,272,244,452,0,14190,14193,14153,14157,724,,46
20220704,0132,175,272,207,462,0,14156,14157,14136,14143,734,,47
20220704,0133,167,326,194,418,0,14145,14162,14130,14141,744,,48
20220704,0134,118,186,162,269,0,14139,14147,14130,14142,455,,49
20220704,0135,107,205,104,169,0,14137,14153,14132,14140,374,,50
20220704,0136,189,342,191,370,0,14140,14157,14123,14157,712,,51
20220704,0137,199,371,187,356,0,14157,14173,14152,14153,727,,52
20220704,0138,141,219,171,303,0,14152,14154,14133,14146,522,,53
20220704,0139,134,251,106,192,0,14145,14164,14142,14162,443,,54
20220704,0140,89,133,117,234,0,14161,14164,14141,14148,367,,55
20220704,0141,170,280,169,477,0,14148,14153,14126,14152,757,,56
20220704,0142,449,1052,335,585,0,14153,14204,14145,14199,1637,,57
20220704,0143,239,522,255,511,0,14199,14205,14164,14189,1033,,58
20220704,0144,184,369,121,185,0,14191,14200,14184,14198,554,,59
20220704,0145,498,998,303,484,0,14198,14245,14197,14243,1482,,60
20220704,0146,355,606,308,552,0,14243,14249,14219,14220,1158,,61
20220704,0147,139,282,143,271,0,14218,14233,14218,14220,553,,62
20220704,0148,144,268,149,243,0,14221,14235,14207,14234,511,,63
20220704,0149,389,731,261,437,0,14235,14266,14234,14261,1168,,64
20220704,0150,262,403,205,371,0,14264,14277,14254,14267,774,,65
20220704,0151,164,256,186,359,0,14269,14276,14252,14257,615,,66
20220704,0152,130,265,133,249,0,14257,14270,14253,14268,514,,67
20220704,0153,199,360,176,313,0,14268,14282,14258,14262,673,,68
20220704,0154,231,362,294,551,0,14263,14268,14231,14245,913,,69
20220704,0155,107,187,153,277,0,14246,14256,14227,14227,464,,70
20220704,0156,126,195,157,289,0,14229,14239,14218,14239,484,,71
20220704,0157,155,215,144,224,0,14238,14254,14238,14242,439,,72
20220704,0158,184,421,169,270,0,14243,14263,14234,14254,691,,73
20220704,0159,68,87,105,174,0,14259,14261,14231,14234,261,,74
20220704,0200,123,204,140,255,0,14233,14241,14220,14231,459,,75
20220704,0201,131,192,158,248,0,14230,14252,14220,14225,440,,76
20220704,0202,82,109,66,107,0,14224,14237,14224,14234,216,,77
20220704,0203,124,248,87,125,0,14236,14253,14231,14250,373,,78
20220704,0204,92,135,92,154,0,14250,14258,14240,14240,289,,79
20220704,0205,45,69,56,111,0,14239,14249,14237,14239,180,,80
20220704,0206,61,97,76,141,0,14239,14240,14228,14233,238,,81
20220704,0207,86,140,89,192,0,14232,14248,14222,14236,332,,82
20220704,0208,45,68,53,87,0,14234,14244,14227,14236,155,,83
20220704,0209,116,266,74,123,0,14234,14258,14228,14255,389,,84
20220704,0210,321,720,254,412,0,14258,14285,14254,14283,1132,,85
20220704,0211,166,260,132,212,0,14281,14283,14269,14274,472,,86
20220704,0212,188,257,207,399,0,14274,14275,14234,14254,656,,87
20220704,0213,69,128,55,98,0,14255,14261,14245,14255,226,,88
20220704,0214,49,72,76,176,0,14255,14255,14238,14238,248,,89
20220704,0215,53,91,80,174,0,14237,14247,14232,14236,265,,90
20220704,0216,81,98,105,232,0,14236,14245,14224,14233,330,,91
20220704,0217,86,116,183,388,0,14234,14234,14206,14211,504,,92
20220704,0218,135,276,195,370,0,14210,14212,14194,14203,646,,93
20220704,0219,112,209,74,100,0,14201,14214,14199,14208,309,,94
20220704,0220,67,109,141,301,0,14207,14210,14187,14189,410,,95
20220704,0221,130,278,150,301,0,14190,14193,14180,14190,579,,96
20220704,0222,96,168,95,176,0,14190,14204,14186,14191,344,,97
20220704,0223,70,102,130,284,0,14191,14194,14177,14182,386,,98
20220704,0224,70,149,111,188,0,14181,14189,14175,14182,337,,99
20220704,0225,55,99,80,206,0,14181,14187,14173,14173,305,,100
20220704,0226,125,232,174,345,0,14172,14180,14162,14167,577,,101
20220704,0227,68,107,121,247,0,14166,14168,14156,14157,354,,102
20220704,0228,113,250,85,126,0,14156,14174,14155,14172,376,,103
20220704,0229,44,73,67,112,0,14172,14174,14163,14167,185,,104
20220704,0230,41,84,49,94,0,14168,14172,14160,14170,178,,105
20220704,0231,169,302,124,229,0,14171,14191,14162,14178,531,,106
20220704,0232,58,92,103,195,0,14178,14186,14165,14167,287,,107
20220704,0233,76,127,87,196,0,14168,14177,14158,14165,323,,108
20220704,0234,87,132,114,233,0,14164,14173,14152,14153,365,,109
20220704,0235,94,155,200,407,0,14153,14156,14139,14139,562,,110
